Index & ID  & CEL  & NUSE & GNUSE & RLE & MA-plot & Boxplot & Heatmap\\
1 & 12 & GSM177896.cel.gz & 3 & 5 & 0 & 0 & 0 & 0 \\
  2 & 22 & GSM177906.cel.gz & 5 & 0 & 9 & 0 & 7 & 8 \\
  3 & 26 & GSM177910.cel.gz & 5 & 0 & 10 & 0 & 3 & 0 \\
  4 & 60 & GSM177944.cel.gz & 0 & 0 & 0 & 0 & 0 & 5 \\
  5 & 68 & GSM177952.cel.gz & 10 & 10 & 5 & 0 & 9 & 0 \\
  6 & 78 & GSM177962.cel.gz & 0 & 0 & 10 & 0 & 4 & 7 \\
  7 & 86 & GSM177970.cel.gz & 7 & 0 & 2 & 0 & 2 & 2 \\
  8 & 94 & GSM177978.cel.gz & 8 & 0 & 1 & 0 & 4 & 0 \\
  9 & 104 & GSM177988.cel.gz & 3 & 0 & 0 & 0 & 0 & 10 \\
  10 & 106 & GSM177990.cel.gz & 5 & 0 & 0 & 0 & 0 & 0 \\
  11 & 139 & GSM178023.cel.gz & 8 & 5 & 7 & 0 & 5 & 2 \\
  12 & 179 & GSM178063.cel.gz & 0 & 0 & 1 & 0 & 6 & 0 \\
  13 & 193 & GSM178077.cel.gz & 10 & 0 & 0 & 0 & 0 & 0 \\
  14 & 203 & GSM26870.CEL.gz & 10 & 1 & 0 & 0 & 0 & 0 \\
  15 & 242 & GSM26909.CEL.gz & 0 & 0 & 0 & 0 & 6 & 0 \\
  16 & 247 & GSM26914.CEL.gz & 3 & 4 & 2 & 0 & 8 & 0 \\
  17 & 269 & GSM79172.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  18 & 284 & GSM79231.CEL.gz & 0 & 0 & 6 & 0 & 3 & 0 \\
  19 & 304 & GSM79314.CEL.gz & 9 & 10 & 0 & 0 & 0 & 0 \\
  20 & 312 & GSM79331.CEL.gz & 1 & 6 & 1 & 0 & 1 & 0 \\
  21 & 313 & GSM79337.CEL.gz & 6 & 9 & 1 & 0 & 10 & 0 \\
  22 & 320 & GSM79350.CEL.gz & 10 & 10 & 10 & 0 & 10 & 0 \\
  23 & 325 & GSM79355.CEL.gz & 0 & 0 & 4 & 0 & 0 & 6 \\
  24 & 352 & GSM79147.CEL.gz & 0 & 0 & 10 & 0 & 3 & 4 \\
  25 & 380 & GSM79194.CEL.gz & 10 & 10 & 10 & 0 & 10 & 6 \\
  26 & 391 & GSM79209.CEL.gz & 0 & 0 & 7 & 0 & 1 & 1 \\
  27 & 439 & GSM79270.CEL.gz & 0 & 0 & 0 & 0 & 0 & 6 \\
  28 & 440 & GSM79271.CEL.gz & 0 & 0 & 0 & 0 & 0 & 9 \\
  29 & 446 & GSM79278.CEL.gz & 2 & 0 & 2 & 0 & 5 & 0 \\
  30 & 447 & GSM79279.CEL.gz & 9 & 4 & 2 & 0 & 4 & 0 \\
  31 & 464 & GSM79303.CEL.gz & 0 & 5 & 0 & 0 & 0 & 0 \\
  32 & 471 & GSM79313.CEL.gz & 3 & 8 & 0 & 0 & 3 & 0 \\
  33 & 483 & GSM79334.CEL.gz & 10 & 10 & 10 & 0 & 10 & 9 \\
  34 & 492 & GSM79356.CEL.gz & 0 & 0 & 0 & 0 & 0 & 7 \\
  35 & 556 & GSM50091.CEL.gz & 5 & 0 & 0 & 0 & 0 & 0 \\
  36 & 573 & GSM50108.CEL.gz & 10 & 10 & 3 & 0 & 9 & 7 \\
  37 & 575 & GSM50110.CEL.gz & 9 & 9 & 0 & 0 & 7 & 2 \\
  38 & 577 & GSM50112.CEL.gz & 0 & 0 & 4 & 0 & 3 & 10 \\
  39 & 578 & GSM50113.CEL.gz & 0 & 0 & 5 & 0 & 4 & 3 \\
  40 & 579 & GSM50114.CEL.gz & 10 & 10 & 0 & 0 & 0 & 0 \\
  41 & 583 & GSM50118.CEL.gz & 0 & 0 & 8 & 0 & 7 & 10 \\
